,numVotes
1679,193
1680,741
1681,468
1682,15
1683,34
1684,67
1685,89528
1686,4706
1687,117
1688,15
1689,6320
1690,24
1691,17
1692,5988
1693,57
1694,68
1695,33615
1696,87
1697,50134
1698,285
1699,80236
1700,136
1701,500
1702,102
1703,61
1704,905
1705,236
1706,319
1707,573
1708,59
1709,44
1710,34
1711,12
1712,811
1713,302
1714,43
1715,308
1716,8
1717,158
1718,16
1719,1126
1720,10
1721,204
1722,1618
1723,6880
1724,111
1725,92
1726,79
1727,27
1728,16488
1729,210
1730,33
1731,11
1732,42
1733,86
1734,421
1735,9335
1736,12156
1737,97
1738,5828
1739,11
1740,7388
1741,15
1742,41
1743,15
1744,1059
1745,633
1746,385
1747,1538
1748,414
1749,247
1750,35
1751,683
1752,21919
1753,21899
1754,128
1755,16
1756,7244
1757,1902
1758,22739
1759,22
1760,29
1761,82
1762,32
1763,98
1764,326
1765,10
1766,2170
1767,47535
1768,1467
1769,114
1770,130
1771,10
1772,72
1773,2084
1774,4260
1775,128
1776,8009
1777,3516
1778,9
1779,195
1780,54
1781,268474
1782,502
1783,114553
1784,199
1785,249
1786,12
1787,7011
1788,127
1789,17
1790,59233
1791,3260
1792,537
1793,62
1794,25
1795,169
1796,74
1797,230
1798,205
1799,118
1800,453
1801,117
1802,31
1803,128
1804,29
1805,43
1806,9
1807,7523
1808,19
1809,11
1810,15
1811,5426
1812,134
1813,97
1814,10
1815,206
1816,9611
1817,145
1818,307
1819,88
1820,832
1821,747
1822,119
1823,246
1824,25
1825,15
1826,52
1827,23
1828,1402
1829,514
1830,166654
1831,5
1832,1892
1833,30
1834,622
1835,7
1836,49
1837,101
1838,40
1839,168
1840,73
1841,114
1842,191
1843,664
1844,41
1845,52
1846,9
1847,11352
1848,842
1849,46
1850,25
1851,385
1852,551
1853,19346
1854,7106
1855,25
1856,478
1857,10457
1858,155
1859,437
1860,148
1861,62
1862,1401
1863,66
1864,529
1865,57
1866,120
1867,616
1868,110
1869,6184
1870,88
1871,735
1872,127
1873,19
1874,203
1875,484
1876,1568
1877,512
1878,204
1879,16742
1880,1955
1881,17
1882,5813
1883,125
1884,39
1885,2561
1886,79
1887,26
1888,31
1889,621
1890,12
1891,202
1892,1270
1893,21
1894,25
1895,1247
1896,17
1897,69
1898,17
1899,901
1900,18
1901,33981
1902,9
1903,32
1904,132
1905,3126
1906,58
1907,36
1908,29
1909,32
1910,58
1911,113
1912,109792
1913,385
1914,1499
1915,86
1916,206
1917,154
1918,37
1919,1880
1920,53
1921,37
1922,173
1923,27
1924,314
1925,336
1926,3752
1927,14624
1928,27
1929,20
1930,306
1931,47
1932,1663
1933,18
1934,11145
1935,9005
1936,7
1937,1393
1938,24
1939,217
1940,15657
1941,245
1942,92
1943,31
1944,517
1945,5
1946,47
1947,640
1948,367
1949,143
1950,26
1951,21
1952,87
1953,1226
1954,343
1955,15000
1956,20
1957,68
1958,4191
1959,9
1960,786
1961,450
1962,215
1963,289
1964,18
1965,130
1966,353
1967,9
1968,856
1969,4354
1970,5029
1971,9911
1972,269
1973,41
1974,1189
1975,23
1976,727
1977,39
1978,17988
1979,18
1980,291
1981,6747
1982,1222
1983,5675
1984,246
1985,25
1986,117
1987,6103
1988,29
1989,22
1990,220
1991,34
1992,54
1993,109
1994,3582
1995,2200
1996,21
1997,16195
1998,1400
1999,34
